(86.6025, -50.0)

(80.829, -46.6667)
(75.0554, -43.3333)
(69.2819, -40.0)
(63.5084, -36.6666)
(57.7348, -33.3333)
(51.9613, -29.9999)
(46.1878, -26.6666)
(40.4142, -23.3332)
(34.6407, -19.9999)
(28.8672, -16.6665)
(23.0937, -13.3332)
(17.3201, -9.9998)
(11.5466, -6.6665)
(5.7731, -3.3331)
(-0.0005, 0.0002)
(-5.774, 3.3336)
(-11.5475, 6.6669)
(-17.3211, 10.0003)
(-23.0946, 13.3336)
(-28.8681, 16.667)
(-34.6417, 20.0003)
(-40.4152, 23.3337)
(-46.1887, 26.667)
(-51.9623, 30.0004)
(-57.7358, 33.3337)
(-63.5093, 36.6671)
(-69.2829, 40.0004)
(-75.0564, 43.3338)
(-80.8299, 46.6671)
(-86.6034, 50.0005)
